nodeId,networkId,tokenName,tokenSymbol,nodeGroup,date,nodeStake,pubsCommited,pubsCommited1stEpochOnly,estimatedEarnings,cumulativeEstimatedEarnings,payouts,cumulativePayouts,ask
10,QmXkL415jBmkuzi183ALtmCsdEfm3XiUNxLdqKwuUjwCtx,Trace Labs Node 6,TLNODE_6,Trace Labs,2023-07-10T00:00:00.000Z,51089.414456864,3,0,0.557578125,1394.6693734205332,0.446984435,1089.414452755,0.13
12,QmaVYtFZcraSnVMpzHhdxHXZHb6juXAQWZ5taShWHWQSUh,Trace Labs Node 27,TLNODE_27,Trace Labs,2023-07-10T00:00:00.000Z,51669.816450457,10,2,1.9603125,2319.4262215952335,2.175716209,1669.816446264,0.11
94,QmWXFBUi5EBPpUYXS8Chswymgct14DugGQABzt32m3Ly4p,Kanos,KAN,Alliance,2023-07-10T00:00:00.000Z,50230.071633515,0,0,0.0,648.9940625,0.0,230.071633389,0.24
86,Qmb44HMCYoQPkNfxxVE6rDtYv3uoKZJkp52cpfQi72BXqD,Sinaloa2,SNL2,Solo,2023-07-10T00:00:00.000Z,53164.117943888,11,2,2.150859375,715.8644375,0.0,164.11794388,0.24
71,Qmcq6oVUF64DY8h9SWJkpXugExULwrmnyoySQjQ27sRjkt,drMurlly-DKGv6-3,DKGv6-3,Alliance,2023-07-10T00:00:00.000Z,0.0,0,0,0.0,532.144589841,0.0,0.0,0.24
114,QmaUMsMLhMwC21L9qcPu9VBNpYAuEnGTNUK2tPwRge4XH9,SDUINODE,SDUI,Solo,2023-07-10T00:00:00.000Z,60000.0,0,0,0.0,0.46,0.0,0.0,0.24
104,QmdaU5wBTFSTkPuA2Pmq7Wbqrw4Nr6w8yR64rjbwYpBqL1,SOON3,EMP3,Alliance,2023-07-10T00:00:00.000Z,50035.175385199,8,8,1.941796875,500.406328125,0.849999999,35.175385171,0.24
48,QmXV8HvaDmb59ZXeeLKjQCUKf9WTNyAWFPq7N7YBBGercj,Hotnode8,Hotnode8,Alliance,2023-07-10T00:00:00.000Z,60809.709391406,9,3,1.842890625,3418.5324376083167,0.602724199,2623.468030291,0.24
70,QmT9GStkoa2zAGmrjh94XvMWTMSzmp5NKgCwS6vev5pHer,LuKu,LuKu,Alliance,2023-07-10T00:00:00.000Z,51752.493682703,12,3,2.5321875,2739.0403036991,0.849999999,1752.493682266,0.24
96,Qmf4h7WE79aqjRsE9iA4KnHwDHqySJtuDXir2Gf6FCaT1w,BID,BID,Solo,2023-07-10T00:00:00.000Z,51598.527210442,14,14,3.7575,904.7803125,0.483333333,598.527210051,0.2
73,QmfNJ6tVMZ9ZPcvFSo73Za2qtXe6Wts1HATwjHgCWuKCoL,JuLen,JLT,Alliance,2023-07-10T00:00:00.000Z,50898.318032265,9,4,1.920703125,1404.6101308539166,0.919444444,798.318032133,0.24
13,QmdxdGWjRqtE2wdoaoWQFMqrUPrsnFoLJ3QcCFDJ3fPtTt,Trace Labs Node 20,TLNODE_20,Trace Labs,2023-07-10T00:00:00.000Z,50857.607783219,9,3,1.84078125,1305.0628664523667,0.283333333,857.607780107,0.11
113,QmSKeBQHJDgKyCbUZW3Mbtt75vsW64n3MnY8cMom5eSPjq,kooltek68,kooltek68,Solo,2023-07-10T00:00:00.000Z,55550.0,7,7,1.68,440.423203125,0.0,0.0,0.24
81,QmNrKvfW4Mw6bgzkVr55bLyMNDLhe4qKaXz58Yfpa2CDYY,drMurlly-DKGv6-4,DKGv6-4,Alliance,2023-07-10T00:00:00.000Z,50020.134002222,2,1,0.4275,782.8569433545,0.283333333,510.134002018,0.24
76,QmZs1JecPip98cznh621wdhByLFPQuEfQPM5RoEfVp5EzY,CoachPA Node 4,COACH4,Solo,2023-07-10T00:00:00.000Z,51151.53908677,2,2,0.48,560.2783925744167,0.483333333,151.539086702,0.24
30,QmcB3BHQhUzRmLNzo2rAZGjLPFHUTeGhFLji9AgeZfeQWs,Trace Labs Node 13,TLNODE_13,Trace Labs,2023-07-10T00:00:00.000Z,53279.964276232,22,11,5.087578125,4521.206381194983,1.897936767,3279.863683211,0.1
24,Qmetd2wyq6yTqYcUG7DiUSiJmSPVVqtg6ZyeKa7Gastf1k,Trace Labs Node 25,TLNODE_25,Trace Labs,2023-07-10T00:00:00.000Z,51027.821139776,8,1,1.543828125,1436.8575319858166,0.294234609,1027.576381737,0.11
39,QmesuY31BVZEfCYzfEf2mx6KSkyEvwtCk3rV5ho3SPfRYJ,carbontracker,ct-otp,Solo,2023-07-10T00:00:00.000Z,0.0,0,0,0.0,0.0,0.0,0.0,0.002
100,QmTV8KALCUi2dcoAZ3W13foKDvayJFie1VoZTjDLFLUunM,SOON2,EMP2,Alliance,2023-07-10T00:00:00.000Z,50062.264645724,0,0,0.0,515.373046875,0.0,62.264645679,0.24
37,Qme8odkEfiHHNp2Pa4qkUJiWsqsH8nVrrcohNNN4HhYpkJ,COGE_TRAC,COGE,Solo,2023-07-10T00:00:00.000Z,53181.831293266,5,1,1.02421875,1668.89365841965,0.137517187,1181.734352177,0.24
