nodeId,networkId,tokenName,tokenSymbol,nodeGroup,date,nodeStake,pubsCommited,pubsCommited_inclOutOfTop3,pubsCommited1stEpochOnly,pubsCommited1stEpochOnly_inclOutOfTop3,estimatedEarnings,cumulativeEstimatedEarnings,txFees,payouts,cumulativePayouts,ask
119,QmQEU9yMiERqaQEXuWohadDeGwkBF1hsVE7AWqCzCJQyHv,dkg_node_5_token,dkg_node_5,Solo,2023-07-09T00:00:00.000Z,300000.0,16,16,16,16,3.946875,391.5975,3.680348e-11,0.0,,0.01
122,Qmb545S4B8aBzkjsUCAxjKiZpuBdgs9PgJUUD6cD4qg3A3,BioTwo,DNA,Alliance,2023-07-09T00:00:00.000Z,60000.0,9,19,9,19,2.220703125,43.727578125,4.2683184e-11,0.0,,0.24
121,Qmb49PRCUmotz15MSyhUWuwzBg2ENtqDiUTb695HmfmvVD,OTLee,OTL,Alliance,2023-07-09T00:00:00.000Z,300000.0,0,0,0,0,0.0,0.0,,0.0,,0.24
120,QmZYtjVipLma2AhHbjPRia9PJDe9vX7ezgTxNSFrSkWTKb,BioOne,TRAC,Solo,2023-07-09T00:00:00.000Z,60000.0,11,11,11,11,2.64,140.49046875,2.5161184e-11,0.0,,0.24
102,Qmcj2eQrYT2FQeXXKVHkmGPxkJisGUx3ZTK9vnw8Q1qskT,drMurlly-DKGv6-5,DKGv6-5,Alliance,2023-07-09T00:00:00.000Z,50015.07951660156,20,20,20,20,4.8740625,533.772421875,5.0042584e-11,0.5666666666666667,45.079516601562496,0.24
103,QmYUQxkU1ZLXi95EPTUMWwVdkuFcpLSdeM1R4aD6C6MXDH,LIT,LIT,Solo,2023-07-09T00:00:00.000Z,50036.19118923611,4,4,4,4,0.96,487.95703125,1.9893656e-11,0.8,36.19118923611111,0.22
104,QmdaU5wBTFSTkPuA2Pmq7Wbqrw4Nr6w8yR64rjbwYpBqL1,SOON3,EMP3,Alliance,2023-07-09T00:00:00.000Z,50031.05594075521,5,5,5,5,1.2,490.6040625,2.3805072e-11,1.4166666666666665,31.055940755208333,0.24
105,QmQrD9YyhJY1oZ35fJ8CRo3VM8t5ABQrjS2R23Abg33KJJ,Two Ravens E&C,TWRVN,Solo,2023-07-09T00:00:00.000Z,52313.53488888889,10,10,10,10,2.4,184.913765625,2.4914528e-11,0.2833333333333333,8.403888888888888,0.002
106,QmXEuMWk67BH2dbvFSyEBRt72Mv3m97EJh89PVz2YmQbwr,SPARK,PWD,Solo,2023-07-09T00:00:00.000Z,50007.191818576386,8,8,8,8,1.9265625,421.035,2.0208704e-11,0.2833333333333333,7.191818576388888,0.24
107,QmYUipWZSu6XAGbAw6az5Jg3fL9kRJiSLqsHPVFMagnJbU,SPARK3,PWD3,Solo,2023-07-09T00:00:00.000Z,50033.88097059462,5,5,5,5,1.22203125,642.817734375,1.629948e-11,0.4572265625,33.880970594618056,0.24
108,QmancZ6c2zGCpujhhSLHrg9naAY8BwAGSJVPgRUMfG4AxE,SPARK4,PWD4,Solo,2023-07-09T00:00:00.000Z,50017.50307074653,10,10,10,10,2.5153125,471.120703125,2.7750856e-11,0.7194444444444444,17.503070746527776,0.24
109,QmdGgJWhw46SDPuGh8DQKoDYRGqC5QPWVGuatn1ggqrCar,SPARK5,PWD5,Solo,2023-07-09T00:00:00.000Z,50038.775298394095,10,10,10,10,2.431875,632.8828125,3.0378112e-11,1.1671820746527777,38.77529839409722,0.24
110,QmbBn8L27ewqEA3V2mYqUqTwWq1Zk9jKXJst9meALVNXki,SPARK6,PWD6,Solo,2023-07-09T00:00:00.000Z,50024.89240993924,7,9,7,9,1.68,362.291484375,4.144844e-11,1.97421875,24.89240993923611,0.24
111,QmXWrYF6yBfFudYzRx272jMNKbnSD2gsxJXBDCMSBdZuK8,SPARK2,PWD2,Solo,2023-07-09T00:00:00.000Z,50028.112014431426,8,10,8,10,1.985625,401.04,4.5986768e-11,2.309309895833333,28.11201443142361,0.24
112,QmQosDTb7acNGdCA87H7AaioHoUwXzyhTJ7syqhCdEzagM,Pull,PUL,Solo,2023-07-09T00:00:00.000Z,50516.70017089844,8,12,8,12,1.981640625,367.68328125,3.2646952e-11,1.0388888888888888,16.7001708984375,0.22
113,QmSKeBQHJDgKyCbUZW3Mbtt75vsW64n3MnY8cMom5eSPjq,kooltek68,kooltek68,Solo,2023-07-09T00:00:00.000Z,55550.0,13,13,13,13,3.168046875,428.042109375,2.8594216e-11,0.0,,0.24
114,QmaUMsMLhMwC21L9qcPu9VBNpYAuEnGTNUK2tPwRge4XH9,SDUINODE,SDUI,Solo,2023-07-09T00:00:00.000Z,59000.0,0,0,0,0,0.0,0.46,,0.0,,0.24
115,QmW4nmy8bvTNSUkBaHFwdBx37BbZPAcwHX5ZYKFNqjU6Qz,dkgnode1,DKGN1,Solo,2023-07-09T00:00:00.000Z,300000.0,19,19,19,19,5.53546875,605.744578125,4.27138e-11,0.0,,0.0001
116,QmcZHDH5XnrifFUA2FhBWmjsgQFwqibvXqHMQTB9VKNG3y,dkgnode2,DKGN2,Solo,2023-07-09T00:00:00.000Z,400000.0,27,27,27,27,6.81,565.511484375,6.1746168e-11,0.0,,1e-05
117,QmdSpXBSLic3C4oJK6HpJ6qzEY4Ni1mH8MVDdzUVeT3Kxv,dkg_node_3_token,dkg_node_3,Solo,2023-07-09T00:00:00.000Z,400000.0,16,18,16,18,4.666640625,349.3434375,4.109456e-11,0.0,,0.001
118,QmPtxryUf9L9xLkTkSMZaTdUjCjX2XAUgzGkZtYpnsVfgN,dkg_node_4_token,dkg_node_4,Solo,2023-07-09T00:00:00.000Z,400000.0,0,0,0,0,0.0,18.153046875,,0.0,,0.005
80,QmPx8gKqABFQuzYTHD7Ka9uvbFvmg7hfezU8BYcUahvVUC,Amado4,Amado4,Alliance,2023-07-09T00:00:00.000Z,52838.93160801215,28,29,11,12,6.640078125,802.192646484375,7.04236e-11,0.5666666666666667,338.93160801215276,0.24
81,QmNrKvfW4Mw6bgzkVr55bLyMNDLhe4qKaXz58Yfpa2CDYY,drMurlly-DKGv6-4,DKGv6-4,Alliance,2023-07-09T00:00:00.000Z,50014.976881041664,11,11,4,4,3.032109375,773.159912109375,2.41752e-11,0.0,504.9768810416667,0.24
